simulation,profit,max_drawdown
0,1.0,0.009900990099009901
1,1.0,0.00980392156862745
2,1.0,0.009900990099009901
3,1.0,0.009900990099009901
4,1.0,0.019801980198019802
5,1.0,0.00980392156862745
6,1.0,0.00980392156862745
7,1.0,0.009900990099009901
8,1.0,0.009900990099009901
9,1.0,0.00980392156862745
10,1.0,0.019417475728155338
11,1.0,0.01
12,1.0,0.019417475728155338
13,1.0,0.009900990099009901
14,1.0,0.009900990099009901
15,1.0,0.009900990099009901
16,1.0,0.009900990099009901
17,1.0,0.019417475728155338
18,1.0,0.009900990099009901
19,1.0,0.00980392156862745
