fold,train_start,train_end,test_start,test_end,total_trades,win_rate,breakeven_win_rate,edge,net_profit,profit_factor,max_drawdown,average_profit_per_trade,roc_auc,f1,accuracy
0,2026-01-01 00:00:00+00:00,2026-01-01 01:29:00+00:00,2026-01-01 01:30:00+00:00,2026-01-01 02:29:00+00:00,20,1.0,0.53475935828877,0.46524064171123003,17.4,inf,0.0,0.8699999999999999,1.0,1.0,1.0
1,2026-01-01 00:30:00+00:00,2026-01-01 01:59:00+00:00,2026-01-01 02:00:00+00:00,2026-01-01 02:59:00+00:00,20,1.0,0.53475935828877,0.46524064171123003,17.4,inf,0.0,0.8699999999999999,1.0,1.0,1.0
